CustomerID,Name,Email,Phone,Address,Gender,CustomerSegment,FavoriteCategory,Age,TotalSpend,NumberOfPurchases,SupportTickets,IsChurned,LastLoginDate
C001,Emily Reese,bryantlisa@sanchez.net,+1-368-227-4250x4531,66666 Francis Cove,Male,Standard,Sports,61,905.64,1,5,1,2025-03-03
C002,Marissa Peters,reevesanthony@hotmail.com,360.297.0335x595,972 Allison Pike,Female,Premium,Sports,46,1774.88,9,4,1,2025-04-13
C003,Ryan Austin,hjacobson@gmail.com,+1-399-845-3492x353,921 Shannon Bridge Suite 179,Male,Standard,Electronics,55,1736.84,27,3,0,2025-04-15
C004,John Patel,martinmelissa@gmail.com,+1-072-174-8703,45601 Smith Flats,Female,Premium,Fashion,46,1355.86,1,5,1,2025-04-25
C005,Betty Meza,gallegostyler@gmail.com,289-694-0793x577,00419 Kim Cliffs,Male,Premium,Electronics,33,300.36,30,2,0,2025-04-14
C006,Sandra Reese,meadowscorey@gmail.com,353-810-4531x803,865 Derek Trail,Male,Basic,Home,56,1648.31,28,2,0,2025-03-07
C007,Brandon Johnson,masseysteven@hotmail.com,772.787.3953x369,53411 Stuart Garden,Female,Premium,Home,52,2824.41,28,4,0,2025-04-17
C008,Amy Mercado,garymarks@gmail.com,1244661911,953 Ronald Lakes Suite 670,Female,Standard,Sports,40,1659.57,10,5,1,2025-03-06
C009,Luis Lopez,marshalltiffany@mullen.biz,001-725-980-8812x15311,05016 Evans Locks,Male,Premium,Home,64,2485.77,3,2,1,2025-04-13
C010,Kevin Adams,victoria15@yahoo.com,001-839-896-0467x7948,0879 Makayla Bypass Suite 286,Female,Standard,Electronics,40,1543.22,30,3,1,2025-04-09
C011,Aaron Cook MD,walter14@james-tyler.com,001-626-039-2988,881 Brad Island,Male,Standard,Home,46,2406.52,8,2,1,2025-03-16
C012,Marc Moreno,hmaldonado@boyer.com,5013231734,5566 Samantha Corners,Female,Basic,Home,47,1871.11,21,4,0,2025-04-18
C013,Allison Miranda,tracey48@gmail.com,+1-528-635-8896x5327,5586 Torres Coves,Female,Basic,Sports,39,2130.29,21,4,0,2025-03-24
C014,Todd Huynh,zgray@hotmail.com,001-402-528-3636x170,742 Gonzalez Ranch,Male,Basic,Sports,37,2074.72,27,0,1,2025-03-30
C015,Sheila Barrett,william62@robertson.com,001-625-338-9185x5261,6858 Benjamin Cliff,Male,Basic,Fashion,64,1148.17,25,5,0,2025-03-17
C016,Jennifer Brown,dtate@gmail.com,001-235-660-3249x14730,9679 Jason Ridges,Female,Basic,Sports,35,2503.46,7,3,1,2025-03-13
C017,Anthony Banks,gary33@mckinney.com,+1-502-888-4438x33170,911 Joshua Isle,Female,Premium,Fashion,25,925.24,9,5,1,2025-04-06
C018,Matthew Reese,mgarza@hunt.net,385.257.5352x748,462 Williams Roads,Female,Basic,Electronics,41,405.22,10,3,0,2025-03-13
C019,Kelsey Green,katherinehernandez@kaiser.com,(586)024-0875x17570,320 Patricia Well Apt. 265,Female,Standard,Fashion,59,443.9,10,1,1,2025-03-05
C020,Bradley Ballard,lynncoleman@hotmail.com,817-592-4168,1608 Jon Dam,Female,Basic,Sports,36,902.27,17,3,0,2025-04-26
C021,Sally Johnson,xheath@yahoo.com,340-513-6886,367 Jerry Springs,Female,Standard,Home,25,2617.81,30,2,0,2025-03-09
C022,Patrick Jones,zadams@hotmail.com,082-504-3483x06387,9685 Jason Way,Male,Premium,Sports,58,2194.64,20,0,0,2025-03-15
C023,Kenneth Manning,danielaguilar@gmail.com,+1-921-593-9793x67251,2105 Baker Locks Apt. 883,Male,Standard,Fashion,46,2371.82,16,0,0,2025-04-20
C024,Sarah King,maxwellscott@gmail.com,(297)429-1337,80264 Jennifer Groves Suite 060,Male,Premium,Electronics,37,1584.48,13,0,0,2025-03-11
C025,Justin Rios,lewislaurie@elliott.net,592.307.8596,678 Hansen Locks,Female,Standard,Fashion,22,2813.42,27,4,1,2025-03-31
C026,Michael Hall,ryoder@yahoo.com,001-915-316-4859,99985 Susan Fords,Female,Basic,Home,58,2562.69,17,4,0,2025-04-25
C027,Jennifer Bird,cherylallen@sanchez.org,001-549-846-8236x548,0119 Shelby Flat,Male,Premium,Fashion,38,2764.95,1,0,1,2025-03-18
C028,Raymond Harris,sarah37@morales.info,942.409.1278,6600 John River,Male,Standard,Sports,58,2851.36,10,5,0,2025-04-28
C029,Brian Sheppard,reynoldsbrandy@thomas.biz,210.806.5854x27230,105 John Bridge,Male,Basic,Fashion,64,784.55,17,1,1,2025-04-19
C030,Brandon Long,rodgersamy@jackson-warren.com,579.621.2203,25023 Tammy Station,Male,Standard,Fashion,33,785.34,7,0,1,2025-04-23
C031,Daniel Torres,daviskara@hotmail.com,374.540.5402x594,203 Jones Land Apt. 509,Male,Standard,Home,37,1774.24,17,2,0,2025-04-15
